"date","plug","worktime"
2012-06-27,"Tablet",24
2012-06-28,"Tablet",24
2012-06-29,"Tablet",24
2012-06-30,"Tablet",24
2012-07-01,"Tablet",24
2012-07-02,"Tablet",24
2012-07-03,"Tablet",24
2012-07-04,"Tablet",24
2012-07-05,"Tablet",24
2012-07-06,"Tablet",24
2012-07-07,"Tablet",24
2012-07-08,"Tablet",24
2012-07-09,"Tablet",24
2012-07-10,"Tablet",24
2012-07-11,"Tablet",24
2012-07-12,"Tablet",24
2012-07-13,"Tablet",24
2012-07-14,"Tablet",24
2012-07-15,"Tablet",24
2012-07-16,"Tablet",24
2012-07-17,"Tablet",24
2012-07-18,"Tablet",24
2012-07-19,"Tablet",24
2012-07-20,"Tablet",24
2012-07-21,"Tablet",24
2012-07-22,"Tablet",24
2012-07-23,"Tablet",24
2012-07-24,"Tablet",24
2012-07-25,"Tablet",24
2012-07-26,"Tablet",24
2012-07-27,"Tablet",24
2012-07-28,"Tablet",24
2012-07-29,"Tablet",24
2012-07-30,"Tablet",24
2012-07-31,"Tablet",24
2012-08-01,"Tablet",24
2012-08-02,"Tablet",24
2012-08-03,"Tablet",24
2012-08-04,"Tablet",24
2012-08-05,"Tablet",24
2012-08-06,"Tablet",24
2012-08-07,"Tablet",24
2012-08-08,"Tablet",24
2012-08-09,"Tablet",24
2012-08-10,"Tablet",24
2012-08-11,"Tablet",24
2012-08-12,"Tablet",24
2012-08-13,"Tablet",24
2012-08-14,"Tablet",24
2012-08-15,"Tablet",24
2012-08-16,"Tablet",24
2012-08-17,"Tablet",24
2012-08-18,"Tablet",24
2012-08-19,"Tablet",24
2012-08-20,"Tablet",24
2012-08-21,"Tablet",24
2012-08-22,"Tablet",24
2012-08-23,"Tablet",24
2012-08-24,"Tablet",24
2012-08-25,"Tablet",24
2012-08-26,"Tablet",24
2012-08-27,"Tablet",24
2012-08-28,"Tablet",24
2012-08-29,"Tablet",24
2012-08-30,"Tablet",24
2012-08-31,"Tablet",24
2012-09-01,"Tablet",24
2012-09-02,"Tablet",24
2012-09-03,"Tablet",24
2012-09-04,"Tablet",24
2012-09-05,"Tablet",24
2012-09-06,"Tablet",24
2012-09-07,"Tablet",24
2012-09-08,"Tablet",24
2012-09-09,"Tablet",24
2012-09-10,"Tablet",24
2012-09-11,"Tablet",24
2012-09-12,"Tablet",24
2012-09-13,"Tablet",24
2012-09-14,"Tablet",24
2012-09-15,"Tablet",24
2012-09-16,"Tablet",24
2012-09-17,"Tablet",24
2012-09-18,"Tablet",24
2012-09-19,"Tablet",24
2012-09-20,"Tablet",24
2012-09-21,"Tablet",24
2012-09-22,"Tablet",24
2012-09-23,"Tablet",24
2012-09-24,"Tablet",24
2012-09-25,"Tablet",24
2012-09-26,"Tablet",24
2012-09-27,"Tablet",24
2012-09-28,"Tablet",24
2012-09-29,"Tablet",24
2012-09-30,"Tablet",24
2012-10-01,"Tablet",24
2012-10-02,"Tablet",24
2012-10-03,"Tablet",24
2012-10-04,"Tablet",24
2012-10-05,"Tablet",24
2012-10-06,"Tablet",24
2012-10-07,"Tablet",24
2012-10-08,"Tablet",24
2012-10-09,"Tablet",24
2012-10-10,"Tablet",24
2012-10-11,"Tablet",24
2012-10-12,"Tablet",24
2012-10-13,"Tablet",24
2012-10-14,"Tablet",24
2012-10-15,"Tablet",24
2012-10-16,"Tablet",24
2012-10-17,"Tablet",24
2012-10-18,"Tablet",24
2012-10-19,"Tablet",24
2012-10-20,"Tablet",24
2012-10-21,"Tablet",24
2012-10-22,"Tablet",24
2012-10-23,"Tablet",24
2012-10-24,"Tablet",24
2012-10-25,"Tablet",24
2012-10-26,"Tablet",24
2012-10-27,"Tablet",24
2012-10-28,"Tablet",24
2012-10-29,"Tablet",24
2012-10-30,"Tablet",24
2012-10-31,"Tablet",24
2012-11-01,"Tablet",24
2012-11-02,"Tablet",24
2012-11-03,"Tablet",24
2012-11-04,"Tablet",24
2012-11-05,"Tablet",24
2012-11-06,"Tablet",24
2012-11-07,"Tablet",24
2012-11-08,"Tablet",24
2012-11-09,"Tablet",24
2012-11-10,"Tablet",24
2012-11-11,"Tablet",24
2012-11-12,"Tablet",24
2012-11-13,"Tablet",24
2012-11-14,"Tablet",24
2012-11-15,"Tablet",24
2012-11-16,"Tablet",24
2012-11-17,"Tablet",24
2012-11-18,"Tablet",24
2012-11-19,"Tablet",24
2012-11-20,"Tablet",24
2012-11-21,"Tablet",24
2012-11-22,"Tablet",24
2012-11-23,"Tablet",24
2012-11-24,"Tablet",24
2012-11-25,"Tablet",24
2012-11-26,"Tablet",24
2012-11-27,"Tablet",24
2012-11-29,"Tablet",24
2012-11-30,"Tablet",24
2012-12-01,"Tablet",24
2012-12-02,"Tablet",24
2012-12-03,"Tablet",24
2012-12-04,"Tablet",24
2012-12-05,"Tablet",24
2012-12-06,"Tablet",24
2012-12-07,"Tablet",24
2012-12-08,"Tablet",24
2012-12-09,"Tablet",24
2012-12-10,"Tablet",24
2012-12-11,"Tablet",24
2012-12-12,"Tablet",24
2012-12-13,"Tablet",24
2012-12-14,"Tablet",24
2012-12-15,"Tablet",24
2012-12-16,"Tablet",24
2012-12-17,"Tablet",24
2012-12-18,"Tablet",24
2012-12-19,"Tablet",24
2012-12-20,"Tablet",24
2012-12-21,"Tablet",24
2012-12-22,"Tablet",24
2012-12-23,"Tablet",24
2012-12-24,"Tablet",24
2012-12-25,"Tablet",24
2012-12-26,"Tablet",24
2012-12-27,"Tablet",24
2012-12-28,"Tablet",24
2012-12-29,"Tablet",24
2012-12-30,"Tablet",24
2012-12-31,"Tablet",24
2013-01-01,"Tablet",24
2013-01-02,"Tablet",24
2013-01-03,"Tablet",24
2013-01-04,"Tablet",24
2013-01-05,"Tablet",24
2013-01-06,"Tablet",24
2013-01-07,"Tablet",24
2013-01-08,"Tablet",24
2013-01-09,"Tablet",24
2013-01-10,"Tablet",24
2013-01-11,"Tablet",24
2013-01-12,"Tablet",24
2013-01-13,"Tablet",24
2013-01-14,"Tablet",24
2013-01-15,"Tablet",24
2013-01-16,"Tablet",24
2013-01-17,"Tablet",24
2013-01-18,"Tablet",24
2013-01-19,"Tablet",24
2013-01-20,"Tablet",24
2013-01-21,"Tablet",24
2013-01-22,"Tablet",24
2013-01-23,"Tablet",24
2013-01-24,"Tablet",24
2013-01-25,"Tablet",24
2013-01-26,"Tablet",24
2013-01-27,"Tablet",24
2013-01-28,"Tablet",24
2013-01-29,"Tablet",24
2013-01-30,"Tablet",24
2013-01-31,"Tablet",24
2012-06-27,"Coffee",24
2012-06-28,"Coffee",24
2012-06-29,"Coffee",24
2012-06-30,"Coffee",9.13888888888889
2012-07-01,"Coffee",0.323611111111111
2012-07-02,"Coffee",0.348055555555556
2012-07-03,"Coffee",0.2875
2012-07-04,"Coffee",0.0955555555555556
2012-07-05,"Coffee",0
2012-07-06,"Coffee",1.27611111111111
2012-07-07,"Coffee",0.379444444444444
2012-07-08,"Coffee",1.23055555555556
2012-07-09,"Coffee",1.28361111111111
2012-07-10,"Coffee",0.856666666666667
2012-07-11,"Coffee",0.715555555555556
2012-07-12,"Coffee",0.660277777777778
2012-07-13,"Coffee",1.01944444444444
2012-07-14,"Coffee",4.65777777777778
2012-07-15,"Coffee",1.82777777777778
2012-07-16,"Coffee",2.28111111111111
2012-07-17,"Coffee",2.09944444444444
2012-07-18,"Coffee",3.54027777777778
2012-07-19,"Coffee",2.97611111111111
2012-07-20,"Coffee",3.02138888888889
2012-07-21,"Coffee",2.14361111111111
2012-07-22,"Coffee",2.13611111111111
2012-07-23,"Coffee",1.91388888888889
2012-07-24,"Coffee",1.90944444444444
2012-07-25,"Coffee",1.78777777777778
2012-07-26,"Coffee",1.99472222222222
2012-07-27,"Coffee",1.66527777777778
2012-07-28,"Coffee",2.00277777777778
2012-07-29,"Coffee",3.66611111111111
2012-07-30,"Coffee",1.95194444444444
2012-07-31,"Coffee",1.89722222222222
2012-08-01,"Coffee",2.76472222222222
2012-08-02,"Coffee",1.89027777777778
2012-08-03,"Coffee",1.64194444444444
2012-08-04,"Coffee",1.87305555555556
2012-08-05,"Coffee",2.49277777777778
2012-08-06,"Coffee",1.61
2012-08-07,"Coffee",1.38222222222222
2012-08-08,"Coffee",3.03194444444444
2012-08-09,"Coffee",1.59555555555556
2012-08-10,"Coffee",2.06527777777778
2012-08-11,"Coffee",1.36638888888889
2012-08-12,"Coffee",1.93305555555556
2012-08-13,"Coffee",2.0825
2012-08-14,"Coffee",1.49
2012-08-15,"Coffee",1.72
2012-08-16,"Coffee",1.37972222222222
2012-08-17,"Coffee",2.37305555555556
2012-08-18,"Coffee",1.3475
2012-08-19,"Coffee",2.63638888888889
2012-08-20,"Coffee",1.73333333333333
2012-08-21,"Coffee",1.78138888888889
2012-08-22,"Coffee",1.29583333333333
2012-08-23,"Coffee",1.99666666666667
2012-08-24,"Coffee",2.14805555555556
2012-08-25,"Coffee",2.31111111111111
2012-08-26,"Coffee",1.51527777777778
2012-08-27,"Coffee",2.96416666666667
2012-08-28,"Coffee",1.63583333333333
2012-08-29,"Coffee",1.37472222222222
2012-08-30,"Coffee",2.02305555555556
2012-08-31,"Coffee",1.69055555555556
2012-09-01,"Coffee",1.64583333333333
2012-09-02,"Coffee",1.96166666666667
2012-09-03,"Coffee",2.31388888888889
2012-09-04,"Coffee",2.55777777777778
2012-09-05,"Coffee",2.22194444444444
2012-09-06,"Coffee",2.46166666666667
2012-09-07,"Coffee",1.67055555555556
2012-09-08,"Coffee",1.33277777777778
2012-09-09,"Coffee",2.04194444444444
2012-09-10,"Coffee",2.13027777777778
2012-09-11,"Coffee",1.83027777777778
2012-09-12,"Coffee",2.1625
2012-09-13,"Coffee",1.53805555555556
2012-09-14,"Coffee",15.1719444444444
2012-09-15,"Coffee",18.0091666666667
2012-09-16,"Coffee",1.30166666666667
2012-09-17,"Coffee",1.22611111111111
2012-09-18,"Coffee",1.05055555555556
2012-09-19,"Coffee",1.0925
2012-09-20,"Coffee",1.73638888888889
2012-09-21,"Coffee",1.66888888888889
2012-09-22,"Coffee",1.54611111111111
2012-09-23,"Coffee",2.52527777777778
2012-09-24,"Coffee",1.94555555555556
2012-09-25,"Coffee",1.63
2012-09-26,"Coffee",2.11916666666667
2012-09-27,"Coffee",1.61166666666667
2012-09-28,"Coffee",1.80944444444444
2012-09-29,"Coffee",2.35305555555556
2012-09-30,"Coffee",2.58805555555556
2012-10-01,"Coffee",1.63
2012-10-02,"Coffee",3.30166666666667
2012-10-03,"Coffee",1.65777777777778
2012-10-04,"Coffee",2.20027777777778
2012-10-05,"Coffee",1.58277777777778
2012-10-06,"Coffee",1.70111111111111
2012-10-07,"Coffee",3.89305555555556
2012-10-08,"Coffee",2.21805555555556
2012-10-09,"Coffee",1.34083333333333
2012-10-10,"Coffee",1.7175
2012-10-11,"Coffee",1.86472222222222
2012-10-12,"Coffee",1.91194444444444
2012-10-13,"Coffee",1.26194444444444
2012-10-14,"Coffee",1.67833333333333
2012-10-15,"Coffee",2.65166666666667
2012-10-16,"Coffee",2.18944444444444
2012-10-17,"Coffee",2.03944444444444
2012-10-18,"Coffee",1.39111111111111
2012-10-19,"Coffee",1.38611111111111
2012-10-20,"Coffee",2.25527777777778
2012-10-21,"Coffee",2.13111111111111
2012-10-22,"Coffee",1.54138888888889
2012-10-23,"Coffee",2.74416666666667
2012-10-24,"Coffee",1.89888888888889
2012-10-25,"Coffee",3.07361111111111
2012-10-26,"Coffee",2.48527777777778
2012-10-27,"Coffee",2.91666666666667
2012-10-28,"Coffee",3.02361111111111
2012-10-29,"Coffee",2.46611111111111
2012-10-30,"Coffee",5.0225
2012-10-31,"Coffee",1.85555555555556
2012-11-01,"Coffee",3.58777777777778
2012-11-02,"Coffee",1.7525
2012-11-03,"Coffee",1.38861111111111
2012-11-04,"Coffee",2.24972222222222
2012-11-05,"Coffee",2.7625
2012-11-06,"Coffee",2.27027777777778
2012-11-07,"Coffee",3.19555555555556
2012-11-08,"Coffee",3.83083333333333
2012-11-09,"Coffee",1.62583333333333
2012-11-10,"Coffee",3.28666666666667
2012-11-11,"Coffee",3.1775
2012-11-12,"Coffee",1.88055555555556
2012-11-13,"Coffee",7.89638888888889
2012-11-14,"Coffee",14.5538888888889
2012-11-15,"Coffee",1.29
2012-11-16,"Coffee",2.2525
2012-11-17,"Coffee",2.45111111111111
2012-11-18,"Coffee",2.79805555555556
2012-11-19,"Coffee",1.80138888888889
2012-11-20,"Coffee",2.20944444444444
2012-11-21,"Coffee",3.05194444444444
2012-11-22,"Coffee",1.82416666666667
2012-11-23,"Coffee",3.01361111111111
2012-11-24,"Coffee",1.55277777777778
2012-11-25,"Coffee",2.17111111111111
